id,reg,car_description,car_make_model,road_tax_status,mot_status,exported,average,engine,EngineLitres,EuroStatus,FuelType,KeeperStartDate,LastMOTMileage,LastV5CIssueDate,MOT,MileageIssues,ModelDescription,ModelVariant,PrimaryColour,RegistrationDate,RegistrationPlace,Status,Tax12MonthsCost,Tax6MonthsCost,Transmission,TypeApproval,VehicleAge,WheelPlan,YearManufacture,isSold,co2,manufacturer,mileage,sell,created_on,car_order,taxDueDate,motExpiryDate,carViews
146,GV54BWO,,MINI,Untaxed,Valid,,0,1598,,,PETROL,,,2023-03-15,,,MINI ONE,,SILVER,2004-10,,,,,,M1,,2 AXLE RIGID BODY,2004,1,173,MINI,79136,1995,2024-10-18 09:42:36,5.0,2024-08-10,2025-01-04,49
101,VK61FHL,,,Expired: 31 Jul 2024,Expires: 13 Aug 2025,,0,,,,,,,,,,TT SPORT TDI QUATTRO,,,,,,,,,,,,,1,,,88000,5600,2024-08-27 04:20:55,6.0,2024-07-31,2025-08-13,9
114,LY63AUC,,SEAT Ibiza Toca,Untaxed,Valid,,0,1390cc,,,PETROL,,,2013-12-31,,,IBIZA TOCA,,WHITE,2013-12,,,,,,M1,,2 AXLE RIGID BODY,2013,1,,,110722,2995,2024-08-30 07:41:29,6.0,2024-08-01,2025-04-03,80
139,LA59WEC,,RENAULT MEGANE,Untaxed,Valid,,0,1598,,,PETROL,,,2014-02-26,,,,,BLUE,2010-02,,,,,,M1,,2 AXLE RIGID BODY,2009,1,160,RENAULT,77563,2100,2024-10-12 07:15:35,6.0,2024-09-21,2025-02-22,69
29,WX63NPU,,KIA SOUL,Untaxed,Valid,NO,7375,1582 cc,,EURO 5,Diesel,,81128.0,16 July 2019,£45,Yes,SOUL SHAKER CRDI,SOUL,Black,2013.09.06,Bristol,MEDIUM,£150,£82.50,,M1,10 Years 4 Months,2 AXLE RIGID BODY,2013,1,129 g/km (,KIA,87000,3995,2024-01-06 13:25:15,7.0,2023-12-02,2025-06-06,46
51,LR59XZW,,HONDA INSIGHT,✗ Expired: 26 Feb 2024 63 days ago,✓ Expires: 12 Jun 2024 45 days left,NO,8973,1339 cc,,EURO 5,Petrol,,134590.0,14 February 2013,£45,No,INSIGHT SE CVT,INSIGHT,Blue,2009.09.29,Stanmore / London,MEDIUM,£10,,,M1,14 Years 7 Months,2 AXLE RIGID BODY,2009,1,101 g/km (,HONDA,137000,3400,2024-04-29 02:09:33,7.0,2024-02-26,2024-06-12,1
66,WV62ZVT,,MINI CLUBMAN D,✓ Expires: 01 Jul 2024 34 days left,✓ Expires: 15 Mar 2025 292 days left,NO,10861,1598 cc,,EURO 5,Diesel,,130337.0,20 March 2024,£45,No,COOPER CLUBMAN D,MINI,Silver,2012.09.28,Bristol,MEDIUM,£20,,,M1,11 Years 8 Months,2 AXLE RIGID BODY,2012,1,103 g/km (,MINI,130337,3995,2024-05-28 03:58:34,7.0,2024-07-01,2025-03-15,18
127,RK52YDU,,HONDA ACCORD,Untaxed,Valid,,0,1997,,,PETROL,,,2012-04-13,,,ACCORD VTEC SE AUTO,ACCORD VTEC SE AUTO,BLUE,2002-09,,,,,,M1,,2 AXLE RIGID BODY,2002,1,219,HONDA,97311,1800,2024-10-09 05:25:36,7.0,2024-09-30,2025-09-03,26
62,YY14KJA,,KIA CEED,✗ Expired: 27 Apr 2024 17 days ago,✓ Expires: 28 Nov 2024 199 days left,NO,6935,1582 cc,,EURO 5,Diesel,,69345.0,06 October 2023,£45,No,CEED 3 ECODYNAMICS CRDI,CEED,Silver,2014.05.29,Beverley,MEDIUM,£0,,,M1,10 Years 0 Months,2 AXLE RIGID BODY,2014,1,100 g/km (,KIA,70000,5400,2024-05-14 05:52:39,8.0,2024-04-27,2024-11-28,9
82,KR61WNF,,Benz SLK200,Expired: 06 Jun 2024,Expires: 08 Aug 2025,,0,1796,,,PETROL,,,2020-11-10,,,SLK200 BLUEEFFICIENCY AUTO,,SILVER,2012-02,,,,,,M1,,2 AXLE RIGID BODY,2012,1,,,82746,6400,2024-07-17 03:59:10,8.0,2024-06-06,2025-08-08,44
100,ND63OOC,,Volvo V40,Expired: 12 Jul 2024,Expires: 16 Aug 2025,,0,,,,,,,,,,V40 R-DESIGN NAV D2,,,,,,,,,,,,,1,,,113000,4600,2024-08-27 03:55:26,8.0,2024-07-12,2025-08-16,21
108,DF15NAU,,,Expired: 15 Aug 2024,Expires: 26 Aug 2025,,0,,,,,,,,,,V40 R-DESIGN LUX NAV D3,,,,,,,,,,,,,1,,,120000,4995,2024-08-27 04:46:39,8.0,2024-08-15,2025-08-26,9
163,OW08LXP,,NISSAN,Untaxed,Valid,,0,1386,,,PETROL,,,2022-12-20,,,NOTE ACENTA,,BLACK,2008-07,,,,,,M1,,2 AXLE RIGID BODY,2008,1,150,NISSAN,74106,1995,2024-11-13 07:21:24,8.0,2024-10-28,2025-07-31,68
165,SL57EXT,,VOLKSWAGEN,Taxed,Valid,,0,1390,,,PETROL,,,2019-11-28,,,BEETLE LUNA 75PS,,GREEN,2007-09,,,,,,M1,,2 AXLE RIGID BODY,2007,1,169,VOLKSWAGEN,127678,1500,2024-11-15 06:34:56,8.0,2025-10-01,2025-10-30,50
168,SF65RLZ,,HONDA,Untaxed,Valid,,0,1318,,,PETROL,,,2018-05-10,,,JAZZ SE I-VTEC,,BLUE,2015-10,,,,,,M1,,2 AXLE RIGID BODY,2015,1,116,HONDA,115248,4995,2024-11-22 08:39:46,8.0,2024-11-14,2025-04-23,61
61,SC15RPZ,,VOLKSWAGEN POLO,✗ Expired: 19 Apr 2024 18 days ago,✓ Expires: 01 Apr 2025 330 days left,NO,12933,1422 cc,,EURO 6,Diesel,,116401.0,25 October 2023,£45,No,POLO SE TDI,POLO,Red,2015.05.12,Glasgow,HIGH,£0,,,M1,9 Years 0 Months,2 AXLE RIGID BODY,2015,1,88 g/km (A,VOLKSWAGEN,116000,4900,2024-05-07 09:16:19,9.0,2024-04-19,2025-04-01,9
